41394;;;;;;;;;Technische Universit_t M¨¹nchen (Technical University of Munich);Technical University of Munich;Graduated;Master;;;;;;;;;;;;;Ludwig Maximilians Universit_t M¨¹nchen (Ludwig Maximilians University of Munich);Ludwig Maximilians University of Munich;PhD;PhD;;;;;;;;;;;;
47129;;;;;;;;;Oxford University;;Master;Master;;;;;Stanford;;MBA;MBA;;;;;University of Sussex;;PhD;PhD;;;;;;;;;;;;
41417;Harvard College;Harvard University;BA;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Harvard Law School;Harvard University;JD;JD;;;;
43080;;;;;;;;;;;;;;;;;Wharton School, University of Pennsylvania;The Wharton School of the University of Pennsylvania;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41419;Exeter University;University of Exeter;BSc (Hons);Bachelor;;;;;;;;;;;;;Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration);INSEAD;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40450;;;;;;;;;University of Liverpool;;Master;Master;;;;;Harvard;;MBA;MBA;;;;;University of Melbourne;;PhD;PhD;;;;;;;;;;;;
43068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;University of Southampton;;Other;Other
43090;Oxford University;;Bachelor;Bachelor;;;;;Oxford University;;Master;Master;;;;;;;;;;;;;All Souls College, Oxford University;;PhD;PhD;;;;;;;;;;;;
20319;University of Pennsylvania;University of Pennsylvania;BA (Hons);Bachelor;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43077;University of Virginia;University of Virginia;BS;Bachelor;;;;;;;;;;;;;Stanford University, Graduate School of Business;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47101;Davidson College;Davidson College;BS (Hons);Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28332;;;;;;;;;University of Liverpool;;Master;Master;;;;;Harvard;;MBA;MBA;;;;;University of Melbourne;;PhD;PhD;;;;;;;;;;;;
5243;;;;;;;;;;;;;;;;;;;;;;;;;University of Paris VII;;PhD (Hons);PhD;;;;;;;;;;;;
5344;;;;;;;;;;;;;;;;;University of Strathclyde;;MBA;MBA;;;;;Eidgenossische Technische Hochschule Zurich (ETH) (Swiss Federal Institute of Technology Zurich);;PhD;PhD;;;;;;;;;Eidgenossische Technische Hochschule Zurich (ETH) (Swiss Federal Institute of Technology Zurich);;Other;Other
31876;St John's University;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22551;Massachusetts Institute of Technology (MIT);;Bachelor;Bachelor;Massachusetts Institute of Technology (MIT);;Bachelor;Bachelor;Massachusetts Institute of Technology (MIT);;Master;Master;;;;;Harvard;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40;Harvard;;Bachelor;Bachelor;;;;;University of Sussex;;Master;Master;;;;;;;;;;;;;;;;;;;;;Harvard;;JD;JD;Harvard;;Other;Other
5378;Sarah Lawrence College (SLC);;Bachelor;Bachelor;;;;;Albert Einstein College of Medicine of Yeshiva University;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27577;University of Chicago;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;University of Michigan;;JD;JD;;;;
396;Dartmouth College;Dartmouth College;AB (magna cum laude);Bachelor;;;;;;;;;;;;;Booth School of Business, University of Chicago;University of Chicago;MBA;MBA;;;;;;;;;;;;;;;;;;;;
1688;Purdue University;;Bachelor;Bachelor;;;;;Polytechnic Institute of Brooklyn;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28397;;;;;;;;;;;;;;;;;;;;;;;;;King's College Cambridge, University of Cambridge;University of Cambridge;PhD;PhD;;;;;;;;;;;;
41092;University of Warwick;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12531;;;;;;;;;;;;;University College, Oxford University;;MA;Master;;;;;;;;;;;;;;;;;;;;;;;;
28295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;Oxford University;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1749;Nijenrode Business Universiteit (Nyenrode University);;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43093;;;;;;;;;;;;;;;;;;;;;;;;;King's College Cambridge, University of Cambridge;University of Cambridge;PhD;PhD;;;;;;;;;;;;
43057;Clare College, Cambridge University;;Bachelor;Bachelor;;;;;Yale School of Management;;Master;Master;Clare College, Cambridge University;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;
20280;Clare College, Cambridge University;;Bachelor;Bachelor;;;;;Yale School of Management;;Master;Master;Clare College, Cambridge University;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;
400;University of Warwick;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12704;Dartmouth College;;Bachelor;Bachelor;;;;;Johns Hopkins University School for Advanced International Studies (SAIS);;Master;Master;;;;;Leonard N Stern School of Business, New York University;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
7073;Stanford University;Stanford University;BA;Bachelor;;;;;;;;;;;;;Harvard Business School;Harvard Business School;MBA;MBA;;;;;;;;;;;;;;;;;;;;
13008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13679;;;;;;;;;Massachusetts Institute of Technology (MIT);;Master;Master;;;;;Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration);;MBA;MBA;;;;;;;;;;;;;;;;;Technische Universitat Berlin (Technical University of Berlin);;Other;Other
13741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20253;Christ's College, Cambridge University;;Bachelor;Bachelor;;;;;Christ's College, Cambridge University;;Master;Master;;;;;Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration);;MBA;MBA;;;;;;;;;;;;;;;;;;;;
46123;University of North Carolina, Chapel Hill;;Bachelor;Bachelor;;;;;;;;;;;;;Harvard;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
2067;Clare College, Cambridge University;;Bachelor;Bachelor;;;;;Yale School of Management;;Master;Master;Clare College, Cambridge University;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;
9401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10769;Loyola University Chicago;;Bachelor;Bachelor;;;;;;;;;;;;;Northwestern University;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
